Fiil,Edat,Kasus,Türkçe Anlamı,Örnek Cümle
sich entschuldigen,für,Akkusativ,bir şey için özür dilemek,Ich entschuldige mich für die Verspätung.
erfahren,von,Dativ,bir şeyden haberdar olmak,Ich habe von dem Projekt erfahren.
sich erholen,von,Dativ,bir şeyden sonra dinlenmek/iyileşmek,Er muss sich von der Krankheit erholen.
sich erinnern,an,Akkusativ,bir şeyi/birini hatırlamak,Ich erinnere mich an unseren Urlaub.
erkennen,an,Dativ,birinden/bir şeyden tanımak,Ich erkenne ihn an seiner Stimme.
sich erkundigen,nach,Dativ,bir şeyi bilgi almak amacıyla sormak,Ich erkundige mich nach den Preisen.
erschrecken,über,Akkusativ,bir şeye korkmak/ürkmek,Ich erschrecke über das laute Geräusch.
erzählen,von,Dativ,birinden/bir şeyden bahsetmek,Erzähl mir von deiner Reise.
fragen,nach,Dativ,bir şeyi sormak,Der Tourist fragt nach dem Weg.
sich freuen,auf,Akkusativ,gelecekteki bir şeye sevinmek,Ich freue mich auf das Wochenende.
sich freuen,über,Akkusativ,olmuş bir şeye sevinmek,Ich freue mich über dein Geschenk.
gehören,zu,Dativ,birine/bir yere ait olmak,Das gehört zu meinen Aufgaben.
sich gewöhnen,an,Akkusativ,bir şeye alışmak,Ich muss mich an das Klima gewöhnen.
glauben,an,Akkusativ,bir şeye/birine inanmak,Glaubst du an Geister?
gratulieren,zu,Dativ,bir şey için tebrik etmek,Ich gratuliere dir zum Geburtstag.
halten,von,Dativ,bir şey hakkında bir fikre sahip olmak,Was hältst du von dem neuen Film?
hoffen,auf,Akkusativ,bir şeyi ummak,Wir hoffen auf gutes Wetter.
sich informieren,über,Akkusativ,bir şey hakkında bilgi edinmek,Ich informiere mich über den Kurs.
sich interessieren,für,Akkusativ,bir şeyle ilgilenmek,Er interessiert sich für Kunst.
kämpfen,für,Akkusativ,bir şey için savaşmak,Sie kämpfen für die Umwelt.
kämpfen,gegen,Akkusativ,bir şeye karşı savaşmak,Wir kämpfen gegen die Armut.
sich konzentrieren,auf,Akkusativ,bir şeye konsantre olmak,Ich konzentriere mich auf meine Arbeit.
sich kümmern,um,Akkusativ,bir şeyle/biriyle ilgilenmek,Sie kümmert sich um die Kinder.
lachen,über,Akkusativ,bir şeye gülmek,Wir lachen über den Witz.
leiden,an,Dativ,bir hastalıktan muzdarip olmak,Er leidet an einer schweren Krankheit.
leiden,unter,Dativ,bir durumdan muzdarip olmak,Sie leidet unter dem Lärm.
nachdenken,über,Akkusativ,bir şey hakkında düşünmek,Ich muss über deinen Vorschlag nachdenken.
protestieren,gegen,Akkusativ,bir şeyi protesto etmek,Die Studenten protestieren gegen die Gebühren.
rechnen,mit,Dativ,bir hesaba katmak / beklemek,Wir rechnen mit starkem Regen.
reden,über,Akkusativ,bir şey hakkında konuşmak,Wir reden über die Zukunft.
reden,mit,Dativ,biriyle konuşmak,Ich rede mit meinem Kollegen.
riechen,nach,Dativ,bir şey gibi kokmak,Hier riecht es nach Kaffee.
schmecken,nach,Dativ,bir şey gibi tatmak,Das schmeckt nach Schokolade.
schreiben,an,Akkusativ,birine yazmak,Ich schreibe an meinen Freund.
schreiben,über,Akkusativ,bir şey hakkında yazmak,Er schreibt über seine Erfahrungen.
sich schützen,vor,Dativ,bir şeyden korunmak,Die Brille schützt vor der Sonne.
sorgen,für,Akkusativ,bir şeyin bakımını sağlamak,Eltern sorgen für ihre Kinder.
sprechen,mit,Dativ,biriyle konuşmak,Ich spreche mit dem Lehrer.
sprechen,über,Akkusativ,bir şey hakkında konuşmak,Wir sprechen über den Plan.
sterben,an,Dativ,bir şeyden ölmek,Er ist an Krebs gestorben.
sich streiten,mit,Dativ,biriyle tartışmak/kavga etmek,Ich streite mich oft mit meinem Bruder.
sich streiten,über,Akkusativ,bir şey hakkında tartışmak,Wir streiten über das Geld.
teilnehmen,an,Dativ,bir şeye katılmak,Ich nehme an dem Kurs teil.
telefonieren,mit,Dativ,biriyle telefonda görüşmek,Ich telefoniere mit meiner Mutter.
sich treffen,mit,Dativ,biriyle buluşmak,Ich treffe mich mit Freunden.
sich trennen,von,Dativ,birinden ayrılmak,Er hat sich von seiner Frau getrennt.
überreden,zu,Dativ,bir şeye ikna etmek,Ich überrede ihn zum Mitkommen.
sich unterhalten,mit,Dativ,biriyle sohbet etmek,Ich unterhalte mich mit dem Nachbarn.
sich unterhalten,über,Akkusativ,bir şey hakkında sohbet etmek,Wir unterhalten uns über Politik.
sich verabreden,mit,Dativ,biriyle sözleşmek/randevulaşmak,Ich bin mit ihr verabredet.
sich verabschieden,von,Dativ,birinden vedalaşmak,Ich verabschiede mich von euch.
vergleichen,mit,Dativ,bir şeyle karşılaştırmak,Man kann Äpfel nicht mit Birnen vergleichen.
sich verlassen,auf,Akkusativ,birine/bir şeye güvenmek,Ich verlasse mich auf dich.
sich verlieben,in,Akkusativ,birine aşık olmak,Er hat sich in sie verliebt.
sich verstehen,mit,Dativ,biriyle iyi anlaşmak,Ich verstehe mich gut mit ihm.
sich vorbereiten,auf,Akkusativ,bir şeye hazırlanmak,Ich bereite mich auf die Prüfung vor.
warnen,vor,Dativ,bir şeye karşı uyarmak,Ich warne dich vor dem Hund.
warten,auf,Akkusativ,beklemek,Wir warten auf den Bus.
sich wenden,an,Akkusativ,birine başvurmak/danışmak,Bitte wenden Sie sich an die Rezeption.
werden,zu,Dativ,bir şeye dönüşmek,Raupe wird zu einem Schmetterling.
wissen,von,Dativ,birinden/bir şeyden haberi olmak,Ich weiß von nichts.
sich wundern,über,Akkusativ,bir şeye şaşırmak,Ich wundere mich über seine Reaktion.
zuschauen,bei,Dativ,bir şeye izleyici olarak katılmak,Ich schaue ihm beim Spielen zu.
zweifeln,an,Dativ,bir şeyden şüphe etmek,Ich zweifle an seiner Geschichte.
